,rank,title,author,format,pages,rating,score,votes,release_date,new_release_date
26,27,Fahrenheit 451,Ray Bradbury,Kindle Edition,194 pages,"3.99 avg rating — 1,680,243 ratings","score: 509,551","5,423 people voted",(first published October 19th 1953),"Published
        November 29th 2011
         by Simon & Schuster

            
              (first published October 19th 1953)"
27,28,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,Paperback,239 pages,"4.06 avg rating — 458,299 ratings","score: 505,183","5,468 people voted",(first published 1871),"Published
        December 1st 2000
         by Penguin Group (USA)

            
              (first published 1871)"
28,29,Wuthering Heights,Emily Brontë,Paperback,464 pages,"3.86 avg rating — 1,342,664 ratings","score: 499,207","5,435 people voted",(first published December 1847),"Published
        2002
         by Norton

            
              (first published December 1847)"
29,30,Gone with the Wind,Margaret Mitchell,Mass Market Paperback,1037 pages,"4.30 avg rating — 1,074,630 ratings","score: 477,899","5,198 people voted",(first published June 30th 1936),"Published
        April 1st 1999
         by Warner Books

            
              (first published June 30th 1936)"
30,31,"Night  (The Night Trilogy, #1)",Elie Wiesel,Paperback,115 pages,"4.34 avg rating — 970,183 ratings","score: 473,917","5,029 people voted",(first published 1956),"Published
        January 16th 2006
         by Hill & Wang

            
              (first published 1956)"
31,32,The Picture of Dorian Gray,Oscar Wilde,Paperback,272 pages,"4.08 avg rating — 966,207 ratings","score: 467,102","5,123 people voted",(first published July 20th 1890),"Published
        June 1st 2004
         by Random House: Modern Library

            
              (first published July 20th 1890)"
32,33,Holy Bible: King James Version,Anonymous,Hardcover,1590 pages,"4.41 avg rating — 220,494 ratings","score: 462,317","4,919 people voted",(first published 1611),"Published
        January 15th 2008
        

            
              (first published 1611)"
33,34,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,Paperback,734 pages,"4.56 avg rating — 2,594,834 ratings","score: 462,218","5,168 people voted",(first published July 8th 2000),"Published
        September 28th 2002
         by Scholastic

            
              (first published July 8th 2000)"
34,35,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,Paperback,193 pages,"4.22 avg rating — 1,436,435 ratings","score: 448,169","4,879 people voted",(first published October 12th 1979),"Published
        June 23rd 2007
         by Del Rey

            
              (first published October 12th 1979)"
35,36,Tolkien on Fairy-stories,J.R.R. Tolkien,Hardcover,320 pages,"4.30 avg rating — 2,668 ratings","score: 438,655","4,576 people voted",NA,"Published
        July 1st 2008
         by HarperCollins"
36,37,Hamlet,William Shakespeare,Paperback,289 pages,"4.02 avg rating — 730,083 ratings","score: 435,331","4,839 people voted",(first published 1603),"Published
        August 1st 2005
         by Cambridge University Press

            
              (first published 1603)"
37,38,The Adventures of Huckleberry Finn,Mark Twain,Paperback,327 pages,"3.82 avg rating — 1,151,767 ratings","score: 432,570","4,788 people voted",(first published December 1st 1884),"Published
        December 31st 2002
         by Penguin Classics

            
              (first published December 1st 1884)"
38,39,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,Paperback,652 pages,"4.57 avg rating — 2,437,837 ratings","score: 428,178","4,861 people voted",(first published July 16th 2005),"Published
        September 16th 2006
         by Scholastic Inc.

            
              (first published July 16th 2005)"
39,40,Les Misérables,Victor Hugo,Mass Market Paperback,1463 pages,"4.18 avg rating — 682,793 ratings","score: 400,071","4,422 people voted",(first published 1862),"Published
        March 3rd 1987
         by Signet Classics

            
              (first published 1862)"
40,41,Brave New World / Brave New World Revisited,Aldous Huxley,Paperback,340 pages,"4.17 avg rating — 140,230 ratings","score: 396,022","4,334 people voted",(first published 1958),"Published
        July 5th 2005
         by Harper Perennial Modern Classics

            
              (first published 1958)"
41,42,The Alchemist,Paulo Coelho,Paperback,182 pages,"3.88 avg rating — 2,107,925 ratings","score: 386,914","4,219 people voted",(first published 1988),"Published
        April 15th 2014
         by HarperOne

            
              (first published 1988)"
42,43,Crime and Punishment,Fyodor Dostoyevsky,Paperback,671 pages,"4.22 avg rating — 626,891 ratings","score: 370,000","4,073 people voted",(first published 1866),"Published
        December 31st 2002
         by Penguin

            
              (first published 1866)"
43,44,The Help,Kathryn Stockett,Hardcover,451 pages,"4.47 avg rating — 2,164,029 ratings","score: 359,488","4,057 people voted",NA,"Published
        February 10th 2009
         by Amy Einhorn Books/G.P. Putnam's Sons"
44,45,The Secret Garden,Frances Hodgson Burnett,Hardcover,331 pages,"4.13 avg rating — 891,348 ratings","score: 358,375","4,126 people voted",(first published 1910),"Published
        September 1st 1998
         by Children's Classics

            
              (first published 1910)"
45,46,Memoirs of a Geisha,Arthur Golden,Mass Market Paperback,503 pages,"4.12 avg rating — 1,717,312 ratings","score: 357,554","3,965 people voted",(first published September 23rd 1997),"Published
        November 22nd 2005
         by Vintage Books USA

            
              (first published September 23rd 1997)"
46,47,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,Paperback,206 pages,"4.22 avg rating — 2,127,972 ratings","score: 351,530","4,029 people voted",(first published October 16th 1950),"Published
        2005
         by HarperCollins Publishers

            
              (first published October 16th 1950)"
47,48,The Odyssey,Homer,Paperback,541 pages,"3.77 avg rating — 861,486 ratings","score: 337,054","3,839 people voted",(first published -700),"Published
        November 30th 2006
         by Penguin Classics 

            
              (first published -700)"
